Nome: IMPERATRIZ
Codigo Estacao: 82564
Latitude: -5.53638888
Longitude: -47.47888888
Altitude: 126.33
Situacao: Operante
Data Inicial: 1991-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1991-01-01;,8;3,6;1,6;31,1;24,1;19,6;86,8;63;,5;
1991-01-02;1,4;5,8;16,6;31,5;25,3;19,4;80,8;58;1,2;
1991-01-03;2,6;7,6;,3;32,1;25,7;23,2;80,5;61;1,9;
1991-01-04;2,8;9,7;3;32,5;27,5;23;71,3;55;1,3;
1991-01-05;1;4,3;0;33,1;26,2;24;80,8;51;2,5;
1991-01-06;2,5;7,7;68,3;32,7;27,1;23,4;77,5;49;1,2;
1991-01-07;3;0;30,5;26,7;23,6;21,4;92,8;90;1,4;
1991-01-08;1,5;2,8;2,3;30,7;26,7;23;81,3;69;2,7;
1991-01-09;1,5;8,7;0;33,9;28,3;23,4;70;61;2,2;
1991-01-10;4;7,2;6,2;32,1;27,4;23;73,5;54;1,1;
1991-01-11;4,8;4,7;0;31,1;27;24,2;72;61;1,4;
1991-01-12;2,2;6,5;3,8;32,7;28,6;25;68;54;1,6;
1991-01-13;4;0;97,3;25,7;24,3;21,8;92,3;70;1,6;
1991-01-14;1;,5;5;29,5;25;21,9;88;70;3;
1991-01-15;2;,9;17,5;28,3;24,1;23,2;86,5;73;1,6;
1991-01-16;1;1,5;37;29,5;25,7;23;83,3;77;1,4;
1991-01-17;1,5;,1;101;26,9;24,3;21,3;86,8;81;1,1;
1991-01-18;1;4,6;19;31,3;25,2;20,8;87,5;78;1,4;
1991-01-19;2;1;10;29,7;25;21,8;84,3;64;1,1;
1991-01-20;1;6,7;,3;32,3;25,2;19;82,5;54;1,5;
1991-01-21;3;5,6;41,6;29,3;25,2;23;94,8;85;1,9;
1991-01-22;2;3,1;63;29,7;24,3;20;85,5;75;2,2;
1991-01-23;2;3,8;8,1;30,3;25,5;22,8;88,8;73;1,6;
1991-01-24;1;3,8;11,4;30,3;25,7;22;82,3;69;1,4;
1991-01-25;4;8;2;31,5;26,5;21,8;78,3;63;1,4;
1991-01-26;2;5,2;0;31,9;25,6;20,2;85,5;78;1,6;
1991-01-27;1;6;1,4;32,5;27,3;24,2;83,5;72;1,1;
1991-01-28;3;7,9;,4;33,3;27,6;23,8;78,3;66;2,2;
1991-01-29;3;3,6;2,5;31,5;26,9;23;79,8;66;1,1;
1991-01-30;1,5;8,7;0;33,1;28;24,6;70,5;60;2,2;
1991-01-31;4;4,5;7,7;31,7;26,8;24;78,8;55;1,9;
1991-02-01;null;3,7;0;31,7;27,2;24,7;81,5;70;2,2;
1991-02-02;null;1,4;0;31,7;25,1;22,4;94;85;1,9;
1991-02-03;1,5;3,4;30,5;29,6;25,5;22,4;77,8;60;1;
1991-02-04;2;6,4;0;32,9;27;22;72,3;50;1,6;
1991-02-05;3;5,3;29,8;29,7;24,6;21,6;82,3;66;1,1;
1991-02-06;3;5,5;1,8;32,6;26,4;21,2;76;50;1,4;
1991-02-07;3;5,2;15,6;31,1;26,4;23,8;84,5;67;,8;
1991-02-08;2;5,5;,6;31,3;25,9;23,8;87;78;1,1;
1991-02-09;1;5,9;9,5;31,4;26,7;23;80;57;,8;
1991-02-10;3,5;6,7;0;33,7;28,9;24;65,5;48;1,4;
1991-02-11;2;7,1;0;33,9;28,2;24;67,5;44;1,9;
1991-02-12;2;7;0;32,5;28,3;24,6;70;63;1,5;
1991-02-13;4;6,9;0;33;28,4;24,2;71,3;48;1,7;
1991-02-14;3;6,9;,6;31,9;27,8;24,6;71,5;56;2,4;
1991-02-15;4,5;6;1;32,9;28,8;24,2;67;59;,8;
1991-02-16;5,5;6,8;0;33,3;28,6;23,4;64;51;2,2;
1991-02-17;2;5,7;3,2;32,5;27,1;22,6;72,8;53;1,9;
1991-02-18;2,5;,1;0;28,5;25,2;23,6;88,5;75;1,9;
1991-02-19;1;9,2;5,7;32,7;27,3;24;71,3;53;1,9;
1991-02-20;3;7;4,4;32,5;27,4;24,4;70,3;50;1,6;
1991-02-21;4;8,6;,5;32,1;26,9;23,6;79,8;60;1,9;
1991-02-22;null;9,5;2;32,5;27,8;23;69,8;48;1;
1991-02-23;null;9,8;0;32,9;26,9;24,2;74,5;51;2,2;
1991-02-24;5;5,4;11,1;32,5;27,6;23,2;73;58;1,1;
1991-02-25;null;2,4;,2;32,5;27,1;24,8;76,5;54;2,5;
1991-02-26;2,8;9;,2;33,1;28,4;25;71;51;1,9;
1991-02-27;4,7;4,7;2;32,9;27,3;24,2;75;53;1,9;
