Data;Evap;Prec;Temp;Umid;Vent;Nome
1991-01-01;5,8;0,0;21,4;54,3;2,4;Belo Horizonte
1991-01-02;4,8;0,0;23,6;55,0;1,7;Belo Horizonte
1991-01-03;6,5;0,0;24,4;62,8;1,8;Belo Horizonte
1991-01-04;5,2;15,0;20,8;90,0;1,7;Belo Horizonte
1991-01-05;0,6;36,1;20,2;92,8;0,4;Belo Horizonte
1991-01-06;0,9;22,2;22,3;76,3;2,3;Belo Horizonte
1991-01-07;3,6;0,0;22,3;74,5;2,6;Belo Horizonte
1991-01-08;4,4;0,0;23,6;70,5;2,5;Belo Horizonte
1991-01-09;4,9;0,0;23,9;77,8;2,5;Belo Horizonte
1991-01-10;3,1;13,5;23,0;76,5;0,9;Belo Horizonte
1991-01-11;3,0;57,5;20,3;93,5;1,1;Belo Horizonte
1991-01-12;0,4;85,4;20,2;96,0;1,4;Belo Horizonte
1991-01-13;0,4;32,8;20,8;95,0;1,4;Belo Horizonte
1991-01-14;0,6;7,6;21,2;93,3;1,6;Belo Horizonte
1991-01-15;0,9;97,0;20,2;97,0;0,9;Belo Horizonte
1991-01-16;0,4;57,8;21,0;96,8;1,3;Belo Horizonte
1991-01-17;0,6;36,7;21,5;89,3;0,9;Belo Horizonte
1991-01-18;1,0;19,6;19,3;90,8;1,8;Belo Horizonte
1991-01-19;2,1;22,6;22,3;75,0;2,2;Belo Horizonte
1991-01-20;3,6;0,0;23,3;68,3;3,2;Belo Horizonte
1991-01-21;4,4;0,0;23,5;69,3;1,8;Belo Horizonte
1991-01-22;3,6;0,0;25,6;64,8;1,0;Belo Horizonte
1991-01-23;4,1;26,0;24,0;71,5;1,5;Belo Horizonte
1991-01-24;3,5;6,8;22,6;82,0;1,0;Belo Horizonte
1991-01-25;2,3;7,1;22,5;90,8;1,3;Belo Horizonte
1991-01-26;1,0;8,3;21,7;85,0;2,0;Belo Horizonte
1991-01-27;1,5;23,8;21,0;89,3;1,1;Belo Horizonte
1991-01-28;1,4;46,9;21,2;90,0;1,1;Belo Horizonte
1991-01-29;0,9;22,6;21,4;82,0;0,6;Belo Horizonte
1991-01-30;2,1;0,9;22,7;79,3;1,2;Belo Horizonte
1991-01-31;1,9;5,0;22,3;88,0;1,9;Belo Horizonte
1991-02-01;1,8;24,8;24,3;72,0;1,7;Belo Horizonte
1991-02-02;6,6;0,0;NA;NA;1,6;Belo Horizonte
1991-02-03;5,0;0,0;24,2;63,0;1,9;Belo Horizonte
1991-02-04;5,3;0,0;23,8;70,8;2,0;Belo Horizonte
1991-02-05;5,7;0,0;24,5;59,0;2,6;Belo Horizonte
1991-02-06;6,5;0,0;24,2;61,8;2,0;Belo Horizonte
1991-02-07;5,6;0,0;25,3;57,8;2,3;Belo Horizonte
1991-02-08;6,4;0,0;22,9;76,5;2,7;Belo Horizonte
1991-02-09;4,2;2,0;23,0;85,8;0,7;Belo Horizonte
1991-02-10;2,0;35,8;22,1;83,0;0,4;Belo Horizonte
1991-02-11;1,8;8,6;23,3;83,8;1,0;Belo Horizonte
1991-02-12;2,2;6,0;24,5;79,3;1,3;Belo Horizonte
1991-02-13;2,9;1,2;25,2;68,5;2,0;Belo Horizonte
1991-02-14;4,5;0,0;24,7;70,8;2,0;Belo Horizonte
1991-02-15;3,5;1,2;24,0;75,3;1,5;Belo Horizonte
1991-02-16;2,9;32,6;22,7;83,8;1,6;Belo Horizonte
1991-02-17;2,0;35,6;23,2;84,3;1,5;Belo Horizonte
1991-02-18;2,0;6,6;24,0;77,3;1,5;Belo Horizonte
1991-02-19;3,2;37,0;23,4;75,0;1,5;Belo Horizonte
1991-02-20;3,3;0,0;22,5;76,0;1,9;Belo Horizonte
1991-02-21;3,0;27,4;22,7;73,3;1,8;Belo Horizonte
1991-02-22;5,5;0,0;24,7;69,0;1,7;Belo Horizonte
1991-02-23;4,0;0,0;24,9;76,3;1,7;Belo Horizonte
1991-02-24;3,7;8,7;21,8;80,3;1,9;Belo Horizonte
